"BerryPath","BerryPath"
"Product Feed","Product Feed"
"BerryPath Product Feed","BerryPath Product Feed"
"Product feeds for Magento and Google Shopping.","Product feeds for Magento and Google Shopping."
"Product feeds for Magento and shopping channels. Interested in Guided Selling?","Product feeds for Magento and shopping channels. Interested in Guided Selling?"
"Visit our website.","Visit our website."
"Guided Selling","Guided Selling"
"Visit berrypath.eu","Visit berrypath.eu"
"Contact BerryPath","Contact BerryPath"
"Branding","Branding"
"General","General"
"Feed","Feed"
"Enable product feed","Enable product feed"
"Generate a product feed for each Magento store view.","Generate a product feed for each Magento store view."
"Generate a generic XML product feed for each Magento store view.","Generate a generic XML product feed for each Magento store view."
"Market code","Market code"
"Market Code","Market Code"
"Optional market code for multi-storefront product feeds.","Optional market code for multi-storefront product feeds."
"Optional market code for this feed, for example nl or nl-b2b.","Optional market code for this feed, for example nl or nl-b2b."
"Locale code","Locale code"
"Locale Code","Locale Code"
"Leave empty to use the Magento store locale.","Leave empty to use the Magento store locale."
"Leave empty to use the selected store view locale.","Leave empty to use the selected store view locale."
"Magento store locale","Magento store locale"
"Feed type","Feed type"
"Default feed type","Default feed type"
"Used as the default for new feeds. Google Shopping outputs RSS 2.0 with Google g: attributes.","Used as the default for new feeds. Google Shopping outputs RSS 2.0 with Google g: attributes."
"Product Feed","Product Feed"
"Google Shopping Feed","Google Shopping Feed"
"Meta Catalog Feed","Meta Catalog Feed"
"TikTok Catalog Feed","TikTok Catalog Feed"
"Pinterest Catalog Feed","Pinterest Catalog Feed"
"Microsoft Shopping Feed","Microsoft Shopping Feed"
"OpenAI Product Feed","OpenAI Product Feed"
"Generic XML","Generic XML"
"Google Shopping RSS 2.0","Google Shopping RSS 2.0"
"Generic XML is the default. Google Shopping outputs RSS 2.0 with Google g: attributes.","Generic XML is the default. Google Shopping outputs RSS 2.0 with Google g: attributes."
"Product ID source","Product ID source"
"Default product ID source","Default product ID source"
"Product ID","Product ID"
"Product attribute used as the feed product ID and pid filter source.","Product attribute used as the feed product ID and pid filter source."
"Include not visible products","Include not visible products"
"Used as the default for new feeds.","Used as the default for new feeds."
"Enable this when BerryPath should use simple variant IDs that are not individually visible in the catalog.","Enable this when BerryPath should use simple variant IDs that are not individually visible in the catalog."
"Extra attributes","Extra attributes"
"Default extra attributes","Default extra attributes"
"Optional product attributes to add as extra fields on each product.","Optional product attributes to add as extra fields on each product."
"Feeds","Feeds"
"Manage separate feeds per store view and channel.","Manage separate feeds per store view and channel."
"Manage feeds","Manage feeds"
"Add feed","Add feed"
"Feeds","Feeds"
